question_no | count      | i          | time_spent 
       13900|        1840|        1840|               1624.59 
       50317|        1850|        1850|               1633.56 
       28276|        1860|        1860|               1641.64 
        4970|        1870|        1870|               1651.03 
        5824|        1880|        1880|               1658.83 
       33581|        1890|        1890|               1668.07 
       12014|        1900|        1900|               1677.05 
      146168|        1910|        1910|               1689.16 
        9161|        1920|        1920|               1697.22 
         520|        1930|        1930|               1705.02 
       48616|        1940|        1940|               1713.35 
      150621|        1950|        1950|               1723.17 
       58557|        1960|        1960|               1732.83 
       36567|        1970|        1970|               1741.46 
       44881|        1980|        1980|               1750.30 
       17003|        1990|        1990|               1757.68 
       39536|        2000|        2000|               1768.02 
      162566|        2010|        2010|               1778.28 
       35955|        2020|        2020|               1796.65 
        9877|        2030|        2030|               1812.32 
       48067|        2040|        2040|               1824.85 
        6866|        2050|        2050|               1837.68 
       31582|        2060|        2060|               1849.56 
       41146|        2070|        2070|               1858.26 
        1116|        2080|        2080|               1893.80 
       15179|        2090|        2090|               1901.36 
       11053|        2100|        2100|               1913.06 
       15508|        2110|        2110|               1922.89 
       36552|        2120|        2120|               1936.51 
       45787|        2130|        2130|               1945.07 
       53795|        2140|        2140|               1956.16 
        9214|        2150|        2150|               1965.74 
       35417|        2160|        2160|               1973.46 
       36362|        2170|        2170|               1981.82 
       30555|        2180|        2180|               1989.04 
       44765|        2190|        2190|               1997.52 
       45731|        2200|        2200|               2005.58 
       36124|        2210|        2210|               2013.77 
        9587|        2220|        2220|               2022.34 
       20544|        2230|        2230|               2301.01 
      150598|        2240|        2240|               2313.91 
       57678|        2250|        2250|               2323.32 
        7490|        2260|        2260|               2333.92 
         939|        2270|        2270|               2341.76 
      152439|        2280|        2280|               2350.06 
       26226|        2290|        2290|               2357.51 
         850|        2300|        2300|               2365.80 
       33118|        2310|        2310|               2375.02 
       32178|        2320|        2320|               2384.85 
       25942|        2330|        2330|               2392.84 
       12254|        2340|        2340|               2400.87 
        4481|        2350|        2350|               2410.08 
       14343|        2360|        2360|               2419.22 
       32927|        2370|        2370|               2427.31 
        8871|        2380|        2380|               2435.20 
        8485|        2390|        2390|               2444.16 
       25049|        2400|        2400|               2452.47 
       50447|        2410|        2410|               2459.81 
       18923|        2420|        2420|               2467.85 
       46240|        2430|        2430|               2721.48 
      151369|        2440|        2440|               2730.01 
       60514|        2450|        2450|               2743.46 
       41592|        2460|        2460|               2753.50 
       11190|        2470|        2470|               2763.34 
       13392|        2480|        2480|               2771.35 
       20537|        2490|        2490|               2781.49 
       28245|        2500|        2500|               2791.68 
        6071|        2510|        2510|               2801.20 
        9560|        2520|        2520|               2812.18 
       28331|        2530|        2530|               2819.93 
       11358|        2540|        2540|               2829.11 
       29191|        2550|        2550|               2837.07 
       15947|        2560|        2560|               2845.71 
        7227|        2570|        2570|               2854.27 
       22402|        2580|        2580|               2863.04 
        6524|        2590|        2590|               2872.66 
       10951|        2600|        2600|               2881.73 
       32762|        2610|        2610|               2890.48 
        1234|        2620|        2620|               2900.43 
       35453|        2630|        2630|               2908.81 
       63285|        2640|        2640|               2918.82 
        9012|        2650|        2650|               2930.45 
       59680|        2660|        2660|               2938.73 
       44392|        2670|        2670|               2948.88 
       42556|        2680|        2680|               2959.01 
       23448|        2690|        2690|               2968.46 
        9176|        2700|        2700|               2976.17 
        2004|        2710|        2710|               2983.61 
        7249|        2720|        2720|               2991.27 
       45725|        2730|        2730|               3000.21 
      156929|        2740|        2740|               3008.83 
       54085|        2750|        2750|               3018.33 
       26788|        2760|        2760|               3027.82 
       42335|        2770|        2770|               3036.92 
       37057|        2780|        2780|               3046.52 
         610|        2790|        2790|               3054.56 
      182642|        2800|        2800|               3062.26 
        9047|        2810|        2810|               3070.86 
       45074|        2820|        2820|               3079.79 
       15397|        2830|        2830|               3089.08 
       39776|        2840|        2840|               3098.23 
       38201|        2850|        2850|               3106.67 
      156979|        2860|        2860|               3114.64 
       32277|        2870|        2870|               3122.59 
       31726|        2880|        2880|               3135.82 
       58335|        2890|        2890|               3142.55 
        7525|        2900|        2900|               3176.22 
       29763|        2910|        2910|               3185.34 
       10987|        2920|        2920|               3193.82 
       12681|        2930|        2930|               3203.61 
        5423|        2940|        2940|               3212.55 
       29267|        2950|        2950|               3221.18 
       22803|        2960|        2960|               3229.21 
      146299|        2970|        2970|               3236.97 
        9007|        2980|        2980|               3245.43 
       44275|        2990|        2990|               3253.73 
       15985|        3000|        3000|               3261.09 
       23073|        3010|        3010|               3269.30 
       49793|        3020|        3020|               3277.69 
       57352|        3030|        3030|               3286.09 
       44772|        3040|        3040|               3294.48 
       37226|        3050|        3050|               3302.15 
       37438|        3060|        3060|               3310.03 
        4008|        3070|        3070|               3319.01 
       43909|        3080|        3080|               3328.06 
       53634|        3090|        3090|               3336.84 
       32357|        3100|        3100|               3346.80 
       49602|        3110|        3110|               3355.97 
       58123|        3120|        3120|               3365.14 
       36274|        3130|        3130|               3372.84 
       15759|        3140|        3140|               3381.79 
      148169|        3150|        3150|               3389.94 
       32003|        3160|        3160|               3397.41 
       37679|        3170|        3170|               3405.77 
      150047|        3180|        3180|               3414.63 
       32333|        3190|        3190|               3422.80 
       35859|        3200|        3200|               3432.03 
       11156|        3210|        3210|               3439.28 
       55995|        3220|        3220|               3448.09 
       11980|        3230|        3230|               3455.58 
        5032|        3240|        3240|               3463.70 
       24806|        3250|        3250|               3471.32 
        6567|        3260|        3260|               3479.07 
       14984|        3270|        3270|               3486.26 
         524|        3280|        3280|               3494.26 
       45912|        3290|        3290|               3501.28 
        7767|        3300|        3300|               3509.66 
      151229|        3310|        3310|               3518.90 
       27316|        3320|        3320|               3526.51 
